class,elements,total_time,threads,write_level
SynchronizedMap,450,2840883,4,2
SynchronizedMap,450,2722969,7,2
SynchronizedMap,450,12061045,10,2
SynchronizedRandomAccessList,450,30033160,1,2
SynchronizedRandomAccessList,450,131464674,4,2
SynchronizedRandomAccessList,450,222994146,7,2
SynchronizedRandomAccessList,450,349748516,10,2
CopyOnWriteArrayList,450,342458500,1,2
CopyOnWriteArrayList,450,2899737774,4,2
CopyOnWriteArrayList,450,4949105858,7,2
CopyOnWriteArrayList,450,8169029904,10,2
ConcurrentHashMap,500,1645424,1,2
ConcurrentHashMap,500,16818657,4,2
ConcurrentHashMap,500,43916695,7,2
ConcurrentHashMap,500,41521224,10,2
SynchronizedMap,500,596678,1,2
SynchronizedMap,500,11864052,4,2
SynchronizedMap,500,11476316,7,2
SynchronizedMap,500,21178513,10,2
SynchronizedRandomAccessList,500,43482463,1,2
SynchronizedRandomAccessList,500,156157058,4,2
SynchronizedRandomAccessList,500,310611776,7,2
SynchronizedRandomAccessList,500,459886795,10,2
CopyOnWriteArrayList,500,627395604,1,2
CopyOnWriteArrayList,500,4510109577,4,2
CopyOnWriteArrayList,500,6989561810,7,2
CopyOnWriteArrayList,500,10917694824,10,2
ConcurrentHashMap,50,10517009,1,3
ConcurrentHashMap,50,36161146,4,3
ConcurrentHashMap,50,14424860,7,3
ConcurrentHashMap,50,3758084,10,3
SynchronizedMap,50,167656,1,3
SynchronizedMap,50,278817,4,3
SynchronizedMap,50,417605,7,3
SynchronizedMap,50,904857,10,3
SynchronizedRandomAccessList,50,6774084,1,3
SynchronizedRandomAccessList,50,27127409,4,3
SynchronizedRandomAccessList,50,52955242,7,3
SynchronizedRandomAccessList,50,77417491,10,3
CopyOnWriteArrayList,50,60469933,1,3
CopyOnWriteArrayList,50,822264743,4,3
CopyOnWriteArrayList,50,1033170467,7,3
CopyOnWriteArrayList,50,1592729775,10,3
ConcurrentHashMap,100,3351208,1,3
ConcurrentHashMap,100,9546480,4,3
ConcurrentHashMap,100,963968,7,3
ConcurrentHashMap,100,14187606,10,3
SynchronizedMap,100,9935779,1,3
SynchronizedMap,100,20183563,4,3
SynchronizedMap,100,1844257,7,3
SynchronizedMap,100,24505771,10,3
SynchronizedRandomAccessList,100,14943539,1,3
SynchronizedRandomAccessList,100,62383072,4,3
SynchronizedRandomAccessList,100,132232453,7,3
SynchronizedRandomAccessList,100,153497635,10,3
CopyOnWriteArrayList,100,214729839,1,3
CopyOnWriteArrayList,100,2019848550,4,3
CopyOnWriteArrayList,100,3657236698,7,3
CopyOnWriteArrayList,100,3902584528,10,3
ConcurrentHashMap,150,11965437,1,3
ConcurrentHashMap,150,1089816,4,3
ConcurrentHashMap,150,1271424,7,3
ConcurrentHashMap,150,2603700,10,3
SynchronizedMap,150,195925,1,3
SynchronizedMap,150,717759,4,3
SynchronizedMap,150,1132869,7,3
SynchronizedMap,150,3550779,10,3
SynchronizedRandomAccessList,150,45080202,1,3
SynchronizedRandomAccessList,150,89363033,4,3
SynchronizedRandomAccessList,150,150468762,7,3
SynchronizedRandomAccessList,150,228658910,10,3
CopyOnWriteArrayList,150,177154685,1,3
CopyOnWriteArrayList,150,2316670499,4,3
CopyOnWriteArrayList,150,2786141197,7,3
CopyOnWriteArrayList,150,5335730868,10,3
ConcurrentHashMap,200,6038663,1,3
ConcurrentHashMap,200,45482555,4,3
ConcurrentHashMap,200,3353503,7,3
ConcurrentHashMap,200,8470513,10,3
SynchronizedMap,200,426627,1,3
SynchronizedMap,200,2480478,4,3
SynchronizedMap,200,2686099,7,3
SynchronizedMap,200,3109672,10,3
